ticker,entry_date,exit_date
DD,2020-03-26,2024-12-31
DE,2014-01-01,2024-12-31
DECK,2024-03-18,2024-12-31
DELL,2024-09-23,2024-12-31
DFS,2014-01-01,2014-01-06
DFS,2014-01-07,2016-12-21
DFS,2016-12-22,2017-03-09
DFS,2017-03-10,2017-04-25
DFS,2017-04-26,2021-02-15
DFS,2021-02-16,2024-12-31
DG,2014-01-01,2024-12-31
DGX,2014-01-01,2024-12-31
DHI,2014-01-01,2024-12-31
DHR,2014-01-01,2016-12-21
DHR,2016-12-22,2021-03-31
DHR,2021-04-01,2024-12-31
DIS,2014-01-01,2014-01-26
DIS,2014-01-27,2016-12-18
DIS,2016-12-19,2021-02-28
DIS,2021-03-01,2024-06-27
DIS,2024-06-28,2024-12-31
DISCA,2014-01-01,2018-04-01
DISCA,2018-04-02,2022-04-08
DISCK,2014-08-07,2018-04-01
DISCK,2018-04-02,2022-04-08
DISH,2017-03-13,2023-06-16
DLPH,2014-01-01,2016-01-11
DLPH,2016-01-12,2017-12-04
DLR,2016-05-18,2024-12-31
DLTR,2014-01-01,2024-12-31
DNB,2014-01-01,2017-01-10
DNB,2017-01-11,2017-03-28
DNB,2017-03-29,2017-04-04
DNR,2014-01-01,2015-03-20
DO,2014-01-01,2016-09-30
DOC,2024-03-04,2024-12-31
DOV,2014-01-01,2014-01-30
DOV,2014-01-31,2017-01-25
DOV,2017-01-26,2021-03-31
DOV,2021-04-01,2024-12-31
DOW,2014-01-01,2017-08-31
DOW,2019-04-02,2019-12-22
DOW,2019-12-23,2024-12-31
DPS,2014-01-01,2018-06-29
DPZ,2020-05-12,2024-06-20
DPZ,2024-06-21,2024-12-31
DRE,2017-07-26,2022-09-30
DRI,2014-01-01,2024-12-31
DTE,2014-01-01,2024-12-31
DTV,2014-01-01,2015-07-24
DUK,2014-01-01,2024-12-31
DVA,2014-01-01,2014-01-07
DVA,2014-01-08,2016-08-31
DVA,2016-09-01,2021-03-30
DVA,2021-03-31,2024-12-31
DVMT,2016-09-07,2016-09-07
DVN,2014-01-01,2016-12-18
DVN,2016-12-19,2020-02-26
DVN,2020-02-27,2024-12-31
DWDP,2017-09-01,2019-06-02
DXC,2017-04-04,2017-07-12
DXC,2017-07-13,2021-03-16
DXC,2021-03-17,2023-10-02
DXCM,2020-05-12,2024-12-31
EA,2014-01-01,2024-12-31
EBAY,2014-01-01,2024-12-31
ECL,2014-01-01,2017-03-09
ECL,2017-03-10,2021-03-31
ECL,2021-04-01,2024-12-31
ED,2014-01-01,2016-12-18
ED,2016-12-19,2021-03-28
ED,2021-03-29,2024-12-31
EFX,2014-01-01,2021-03-31
EFX,2021-04-01,2024-12-31
EG,2023-07-10,2024-12-31
EIX,2014-01-01,2024-12-31
EL,2014-01-01,2024-12-31
ELV,2022-06-28,2024-12-31
EMC,2014-01-01,2016-09-06
EMN,2014-01-01,2021-03-31
EMN,2021-04-01,2024-12-31
EMR,2014-01-01,2014-01-07
EMR,2014-01-08,2017-01-10
EMR,2017-01-11,2021-03-31
EMR,2021-04-01,2024-12-31
ENDP,2015-01-27,2017-03-01
ENPH,2021-01-07,2024-12-31
EOG,2014-01-01,2016-12-18
EOG,2016-12-19,2024-06-30
EOG,2024-07-01,2024-12-31
EPAM,2021-12-14,2024-12-31
EQIX,2015-03-23,2024-12-31
EQR,2014-01-01,2024-12-31
EQT,2014-01-01,2016-12-21
EQT,2016-12-22,2017-07-12
EQT,2017-07-13,2018-11-12
EQT,2022-10-03,2024-12-31
ERIE,2024-09-23,2024-12-31
ES,2015-02-19,2016-12-18
ES,2016-12-19,2017-01-24
ES,2017-01-25,2017-03-09
ES,2017-03-10,2019-01-17
ES,2019-01-18,2021-02-28
ES,2021-03-01,2024-12-31
ESRX,2014-01-01,2018-12-20
ESS,2014-04-02,2024-12-31
ESV,2014-01-01,2016-03-29
ETFC,2014-01-01,2020-10-01
ETN,2014-01-01,2016-06-22
ETN,2016-06-23,2020-02-17
ETN,2020-02-18,2021-03-28
ETN,2021-03-29,2022-06-07
ETN,2022-06-08,2024-12-31
ETR,2014-01-01,2014-01-08
ETR,2014-01-09,2015-06-30
ETR,2015-07-01,2024-12-31
ETSY,2020-09-21,2024-09-20
EVHC,2016-12-02,2017-04-16
EVHC,2017-04-17,2018-10-10
EVRG,2018-06-05,2022-12-27
EVRG,2022-12-28,2024-12-31
EW,2014-01-01,2024-12-31
EXC,2014-01-01,2016-12-18
EXC,2016-12-19,2019-09-24
EXC,2019-09-25,2024-12-31
EXPD,2014-01-01,2023-11-20
EXPD,2023-11-21,2024-12-31
EXPE,2014-01-01,2018-03-26
EXPE,2018-03-27,2024-12-31
EXR,2016-01-19,2017-06-26
EXR,2017-06-27,2022-03-27
EXR,2022-03-28,2024-12-31
F,2014-01-01,2024-12-31
FANG,2018-12-03,2024-12-31
FAST,2014-01-01,2024-12-31
FB,2014-01-01,2019-09-16
FB,2019-09-17,2020-01-02
FB,2020-01-03,2021-10-31
FB,2021-11-01,2022-06-08
FBHS,2016-06-24,2017-04-09
FBHS,2017-04-10,2019-11-18
FBHS,2019-11-19,2021-12-20
FBHS,2021-12-21,2022-12-14
FBIN,2022-12-15,2022-12-16
FCPT,2015-11-10,2015-11-10
FCX,2014-01-01,2014-07-13
FCX,2014-07-14,2020-11-17
FCX,2020-11-18,2020-12-27
FCX,2020-12-28,2024-12-31
FDO,2014-01-01,2015-07-06
FDS,2021-12-20,2024-12-31
FDX,2014-01-01,2024-12-31
FE,2014-01-01,2024-12-31
FFIV,2014-01-01,2021-11-15
FFIV,2021-11-16,2024-12-31
FI,2023-06-07,2024-12-31
FICO,2023-03-20,2024-12-31
FIS,2014-01-01,2014-01-29
FIS,2014-01-30,2021-04-04
FIS,2021-04-05,2024-12-31
FISV,2014-01-01,2023-06-06
FITB,2014-01-01,2024-12-31
FL,2016-04-04,2019-08-08
FLIR,2014-01-01,2021-05-13
FLR,2014-01-01,2014-01-06
FLR,2014-01-07,2019-06-03
FLS,2014-01-01,2021-03-19
FLT,2018-06-20,2024-03-24
FMC,2014-01-01,2014-01-09
FMC,2014-01-10,2021-03-30
FMC,2021-03-31,2021-05-04
FMC,2021-05-05,2024-12-31
FOSL,2014-01-01,2016-01-04
FOX,2015-09-21,2019-03-18
FOX,2019-03-19,2024-12-31
FOXA,2014-01-01,2019-03-18
FOXA,2019-03-19,2024-12-31
FRC,2019-01-02,2021-04-04
FRC,2021-04-05,2023-04-28
FRT,2016-02-01,2022-01-02
FRT,2022-01-03,2024-12-31
FRX,2014-01-01,2014-06-30
FSLR,2014-01-01,2017-03-17
FSLR,2022-12-19,2024-12-31
FTI,2014-01-01,2017-01-13
FTI,2017-01-17,2017-10-23
FTI,2017-10-24,2021-02-11
FTNT,2018-10-11,2024-12-31
FTR,2014-01-01,2017-03-17
FTRE,2023-07-03,2023-07-05
FTV,2016-07-05,2017-01-10
FTV,2017-01-11,2017-07-27
FTV,2017-07-28,2021-03-30
FTV,2021-03-31,2024-12-31
GAS,2014-01-01,2016-06-30
GCI,2014-01-01,2015-06-28
GD,2014-01-01,2014-01-21
GD,2014-01-22,2024-12-31
GDDY,2024-06-24,2024-12-31
GE,2014-01-01,2014-01-07
GE,2014-01-08,2021-08-01
GE,2021-08-02,2024-12-31
GEHC,2023-01-04,2024-12-31
GEN,2022-11-08,2024-12-31
GEV,2024-04-02,2024-12-31
GGP,2014-01-01,2017-01-26
GGP,2017-01-27,2018-08-27
GHC,2014-01-01,2014-09-19
GILD,2014-01-01,2024-12-31
GIS,2014-01-01,2014-01-09
GIS,2014-01-10,2021-04-04
GIS,2021-04-05,2024-12-31
GL,2019-08-09,2020-05-03
GL,2020-05-04,2024-06-30
GL,2024-07-01,2024-12-31
GLW,2014-01-01,2021-04-04
GLW,2021-04-05,2024-12-31
GM,2014-01-01,2024-12-31
GMCR,2014-03-24,2016-03-02
GME,2014-01-01,2014-09-23
GME,2014-09-24,2016-04-22
GNRC,2021-03-22,2024-12-31
GNW,2014-01-01,2015-11-17
GOOG,2014-01-01,2014-04-02
GOOG,2014-04-03,2015-10-04
GOOG,2015-10-05,2024-12-31
GOOGL,2014-04-03,2015-10-04
GOOGL,2015-10-05,2024-12-31
GPC,2014-01-01,2024-12-31
GPN,2016-04-25,2023-02-05
GPN,2023-02-06,2024-06-30
GPN,2024-07-01,2024-12-31
GPS,2014-01-01,2022-02-02
GRMN,2014-01-01,2021-12-06
GRMN,2021-12-07,2024-12-31
GS,2014-01-01,2024-12-31
GT,2014-01-01,2019-02-26
GTX,2018-10-01,2018-10-01
GWW,2014-01-01,2017-04-17
GWW,2017-04-18,2020-11-17
GWW,2020-11-18,2024-12-31
HAL,2014-01-01,2024-12-31
HAR,2014-01-01,2016-12-21
HAR,2016-12-22,2017-03-10
HAS,2014-01-01,2024-12-31
HBAN,2014-01-01,2024-12-31
HBI,2015-03-23,2021-03-31
HBI,2021-04-01,2021-12-17
HCA,2015-01-27,2015-04-12
HCA,2015-04-13,2015-07-16
HCA,2015-07-17,2017-05-07
HCA,2017-05-08,2024-12-31
HCBK,2014-01-01,2015-10-30
HCN,2014-01-01,2015-09-29
HCN,2015-09-30,2018-02-27
HCP,2014-01-01,2019-11-04
HD,2014-01-01,2024-12-31
HES,2014-01-01,2016-12-18
HES,2016-12-19,2017-01-24
HES,2017-01-25,2017-03-09
HES,2017-03-10,2023-08-07
HES,2023-08-08,2024-12-31
HFC,2018-06-18,2021-06-03
HIG,2014-01-01,2016-12-18
HIG,2016-12-19,2019-01-07
HIG,2019-01-08,2024-12-31
HII,2018-01-03,2021-03-30
HII,2021-03-31,2024-12-31
HLT,2017-06-19,2024-12-31
HOG,2014-01-01,2020-06-19
HOLX,2016-03-30,2024-12-31
HON,2014-01-01,2014-01-26
HON,2014-01-27,2017-01-29
HON,2017-01-30,2021-04-05
HON,2021-04-06,2021-05-10
HON,2021-05-11,2024-12-31
HOT,2014-01-01,2016-09-22
HP,2014-01-01,2020-05-21
HPE,2015-11-02,2019-07-10
HPE,2019-07-11,2019-11-06
HPE,2019-11-07,2021-03-31
HPE,2021-04-01,2024-12-31
HPQ,2014-01-01,2015-11-01
HPQ,2015-11-02,2024-12-31
HRB,2014-01-01,2019-09-08
HRB,2019-09-09,2020-09-18
HRL,2014-01-01,2024-12-31
HRS,2014-01-01,2014-01-28
HRS,2014-01-29,2019-06-30
HSIC,2015-03-18,2024-12-31
HSP,2014-01-01,2015-09-02
HST,2014-01-01,2020-11-01
HST,2020-11-02,2024-12-31
HSY,2014-01-01,2024-12-31
HUBB,2023-10-18,2024-12-31
HUM,2014-01-01,2019-11-20
