month,date,oi_total,cot_net_share_sp500,cot_net_z_sp500
2023-05-01,2023-05-30,7939887.0,0.06105678833968292,0.8085953002571756
2023-06-01,2023-06-27,7007103.0,0.14508349598971215,2.3876939728731448
2023-07-01,2023-07-25,7238163.0,0.1454344147817616,1.8109288776550105
2023-08-01,2023-08-29,7332000.0,0.13671099290780142,1.301227345025185
2023-09-01,2023-09-26,7227464.0,0.13298025420811505,1.0098910133819776
2023-10-01,2023-10-31,7356275.0,0.10577799225831008,0.3276186425617102
2023-11-01,2023-11-28,7801014.0,0.14075349691719563,0.976623245463237
2023-12-01,2023-12-26,6989323.0,0.15843651810053705,1.1986668670643827
2024-01-01,2024-01-30,7537946.0,0.16709366185430355,1.0641256577335025
2024-02-01,2024-02-27,8077190.0,0.1490224942090009,0.574315925761048
2024-03-01,2024-03-26,7149002.0,0.16528726667022894,0.8221392477709564
2024-04-01,2024-04-30,7057792.0,0.2059158161646022,1.6600423443436827
2024-05-01,2024-05-28,7428614.0,0.19932426156480873,1.4311447322711754
2024-06-01,2024-06-25,6673521.0,0.2184830166863939,2.016721350990544
2024-07-01,2024-07-30,7309403.0,0.20357107139940156,1.2236854854991848
2024-08-01,2024-08-27,7434443.0,0.1872333946201484,0.5982403597209848
2024-09-01,2024-09-24,6918947.0,0.2463665352545698,2.210545559192964
2024-10-01,2024-10-29,7364670.0,0.24221139575839787,1.7558906156897809
2024-11-01,2024-11-26,7838577.0,0.2426515680078157,1.4917816893591282
2024-12-01,2024-12-31,6648802.0,0.21786120266478082,0.5626472988399517
