month,anomaly_rate,date,oi_total,cot_net_share_sp500,cot_net_z_sp500,cot_sp500_z_l-2,cot_sp500_z_l-1,cot_sp500_z_l0,cot_sp500_z_l1,cot_sp500_z_l2,surge
2017-06-01,0.030721966205837174,2017-06-27,4295847.0,0.12484266781382111,1.3065822660003745,2.135599482637393,1.2234563790247013,1.3065822660003745,1.7250299744173379,1.5476810426088166,0
2017-07-01,0.046153846153846156,2017-07-25,4498556.0,0.16239166523657814,1.7250299744173379,1.2234563790247013,1.3065822660003745,1.7250299744173379,1.5476810426088166,1.266458888678773,0
2017-08-01,0.046224961479198766,2017-08-29,4997146.0,0.17152430607390698,1.5476810426088166,1.3065822660003745,1.7250299744173379,1.5476810426088166,1.266458888678773,0.982359713557479,0
2017-09-01,0.04643962848297214,2017-09-26,4617270.0,0.16763823644707804,1.266458888678773,1.7250299744173379,1.5476810426088166,1.266458888678773,0.982359713557479,0.48876718604008784,0
2017-10-01,0.05727554179566564,2017-10-31,5044021.0,0.15882646008016224,0.982359713557479,1.5476810426088166,1.266458888678773,0.982359713557479,0.48876718604008784,0.9024683452935439,0
2017-11-01,0.0913312693498452,2017-11-28,5465174.0,0.1402489655407129,0.48876718604008784,1.266458888678773,0.982359713557479,0.48876718604008784,0.9024683452935439,1.7796398946512106,0
2017-12-01,0.09119010819165378,2017-12-26,4839865.0,0.15707834825971387,0.9024683452935439,0.982359713557479,0.48876718604008784,0.9024683452935439,1.7796398946512106,0.735495417665922,0
2018-01-01,0.08682170542635659,2018-01-30,5737573.0,0.18964848028948825,1.7796398946512106,0.48876718604008784,0.9024683452935439,1.7796398946512106,0.735495417665922,-0.11294321156637835,0
2018-02-01,0.2009273570324575,2018-02-27,5424408.0,0.1619986918388145,0.735495417665922,0.9024683452935439,1.7796398946512106,0.735495417665922,-0.11294321156637835,-0.03737242030701561,0
2018-03-01,0.06811145510835913,2018-03-27,4930499.0,0.14464580562738172,-0.11294321156637835,1.7796398946512106,0.735495417665922,-0.11294321156637835,-0.03737242030701561,-3.1568811816216455,0
2018-04-01,0.05287713841368585,2018-04-24,4823873.0,0.1470202470089905,-0.03737242030701561,0.735495417665922,-0.11294321156637835,-0.03737242030701561,-3.1568811816216455,-1.4007086833850408,0
2018-05-01,0.08074534161490683,2018-05-29,5063652.0,0.07136647621124043,-3.1568811816216455,-0.11294321156637835,-0.03737242030701561,-3.1568811816216455,-1.4007086833850408,-1.3380833032637756,0
2018-06-01,0.056074766355140186,2018-06-26,4312333.0,0.10991266212511881,-1.4007086833850408,-0.03737242030701561,-3.1568811816216455,-1.4007086833850408,-1.3380833032637756,-1.2308536093334972,0
2018-07-01,0.048286604361370715,2018-07-31,4491364.0,0.10275119095223634,-1.3380833032637756,-3.1568811816216455,-1.4007086833850408,-1.3380833032637756,-1.2308536093334972,0.47500231499451767,0
2018-08-01,0.06230529595015576,2018-08-28,4988333.0,0.0975432073199604,-1.2308536093334972,-1.4007086833850408,-1.3380833032637756,-1.2308536093334972,0.47500231499451767,-1.8816965160251133,0
2018-09-01,0.01875,2018-09-25,4635563.0,0.14638847535887226,0.47500231499451767,-1.3380833032637756,-1.2308536093334972,0.47500231499451767,-1.8816965160251133,-0.9772668818754856,0
